,PointIndex,ViewId,FeatureIndex
0,0,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([614.78405762, 996.73858643]), array([ 79.54571533, 611.20245361])]"
1,1,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([669.5135498 , 784.36346436]), array([240.04016113, 240.02801514])]"
2,2,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([680.07110596, 782.94671631]), array([260.47427368, 243.53430176])]"
3,3,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([715.88104248, 989.44116211]), array([367.34216309, 640.340271  ])]"
4,4,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([738.2902832 , 999.53039551]), array([421.52154541, 667.57696533])]"
5,5,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([740.44073486, 842.87939453]), array([419.95083618, 393.43612671])]"
6,6,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([ 759.67401123, 1344.93969727]), array([ 956.9864502 , 1251.58325195])]"
7,7,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([777.4800415 , 769.17327881]), array([503.980896  , 288.41104126])]"
8,8,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([790.70819092, 828.93347168]), array([543.49291992, 399.47732544])]"
9,9,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([802.72735596, 628.60906982]), array([568.38085938,  69.27347565])]"
10,10,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([ 834.28533936, 1342.00744629]), array([1092.17834473, 1239.38195801])]"
11,11,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([ 842.50793457, 1217.69689941]), array([ 937.58203125, 1055.99584961])]"
12,12,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([ 846.38220215, 1388.25854492]), array([1113.83996582, 1305.72094727])]"
13,13,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([853.13922119, 829.39093018]), array([419.95083618, 393.43612671])]"
14,14,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([ 855.38677979, 1337.78430176]), array([1123.19677734, 1232.90527344])]"
15,15,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([864.80609131, 677.33807373]), array([700.87878418, 196.38166809])]"
16,16,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([872.00305176, 724.66656494]), array([720.18310547, 275.9899292 ])]"
17,17,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([ 878.37023926, 1367.13537598]), array([1166.25134277, 1272.26965332])]"
18,18,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([ 878.37023926, 1367.13537598]), array([1166.25134277, 1272.26965332])]"
19,19,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([922.59057617, 578.37487793]), array([814.94836426,  81.48703003])]"
20,20,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([ 940.36010742, 1348.39562988]), array([1976.61242676, 1203.08398438])]"
21,21,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([946.23883057, 741.13970947]), array([865.98199463, 346.5194397 ])]"
22,22,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([ 956.36724854, 1450.19970703]), array([1652.45935059, 1342.97595215])]"
23,23,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([961.8291626 , 741.62463379]), array([884.00164795, 352.82269287])]"
24,24,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1042.92956543, 1452.62194824]), array([1652.45935059, 1342.97595215])]"
25,25,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1044.91320801,  995.94915771]), array([1167.43127441,  762.52893066])]"
26,26,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1088.56091309, 1440.80480957]), array([1525.65148926, 1341.45288086])]"
27,27,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1217.25939941, 1435.50048828]), array([1669.80273438, 1319.93591309])]"
28,28,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1229.41003418, 1327.20153809]), array([1635.39855957, 1197.83435059])]"
29,29,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1234.48510742, 1319.45397949]), array([1640.22753906, 1188.71606445])]"
30,30,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1241.68164062, 1131.06164551]), array([1635.89855957,  972.3380127 ])]"
31,31,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1245.66467285, 1335.05065918]), array([1651.61425781, 1205.23205566])]"
32,32,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1250.01855469, 1062.11889648]), array([1633.95849609,  897.84741211])]"
33,33,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1251.07177734, 1324.046875  ]), array([1657.90234375, 1193.92822266])]"
34,34,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1253.66564941, 1446.40393066]), array([1709.5892334 , 1328.01708984])]"
35,35,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1289.78613281, 1381.01074219]), array([1307.36401367, 1279.79138184])]"
36,36,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1303.83874512, 1340.02490234]), array([1703.58874512, 1206.81188965])]"
37,37,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1315.15063477, 1390.29333496]), array([1113.83996582, 1305.72094727])]"
38,38,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1352.30371094, 1329.04077148]), array([1754.546875 , 1195.3182373])]"
39,39,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1362.98266602, 1409.74572754]), array([1764.24304199, 1279.70568848])]"
40,40,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1374.27270508, 1343.46569824]), array([1775.78088379, 1209.23706055])]"
41,41,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1397.6751709 , 1339.85424805]), array([1224.51464844, 1234.04675293])]"
42,42,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1402.45812988,  909.69012451]), array([1361.9453125 ,  710.96258545])]"
43,43,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1482.44030762, 1327.50097656]), array([1705.56970215, 1196.99951172])]"
44,44,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1489.74682617, 1328.80029297]), array([1874.30639648, 1190.09118652])]"
45,45,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1496.5057373 , 1391.63330078]), array([1113.83996582, 1305.72094727])]"
46,46,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1555.45703125, 1381.74768066]), array([1928.56152344, 1239.99523926])]"
47,47,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1627.4954834 , 1050.21606445]), array([1195.75366211,  890.9151001 ])]"
48,48,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1627.4954834 , 1050.21606445]), array([1195.75366211,  890.9151001 ])]"
49,49,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1661.23828125,  952.33496094]), array([1840.10070801,  824.02746582])]"
50,50,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1674.64038086, 1326.60632324]), array([1705.56970215, 1196.99951172])]"
51,51,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1674.64038086, 1326.60632324]), array([1705.56970215, 1196.99951172])]"
52,52,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1727.07043457, 1394.12121582]), array([1376.57641602, 1287.64038086])]"
53,53,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1727.08190918, 1330.3536377 ]), array([1905.05773926, 1192.09655762])]"
54,54,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1750.32861328, 1333.43786621]), array([2068.20117188, 1186.89306641])]"
55,55,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1758.59973145, 1383.22412109]), array([1928.56152344, 1239.99523926])]"
56,56,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1888.28625488, 1325.26635742]), array([1705.56970215, 1196.99951172])]"
